scenario,rank,mechanism_family,mean_microperf_percent_runtime
baseline,1,CryptoAccelerators,-4.3250
baseline,2,RuntimeDetectionResponse,1.4500
baseline,3,MemorySafetyMitigations,3.0750
baseline,4,RowhammerMitigations,3.8250
baseline,5,TrustedExecutionEnvironments,10.0500
baseline,6,SpeculationControls,11.8000
minus20_e2e3,1,CryptoAccelerators,-3.9775
minus20_e2e3,2,RuntimeDetectionResponse,1.1600
minus20_e2e3,3,MemorySafetyMitigations,2.6900
minus20_e2e3,4,RowhammerMitigations,3.3350
minus20_e2e3,5,TrustedExecutionEnvironments,9.2100
minus20_e2e3,6,SpeculationControls,10.2200
plus20_e2e3,1,CryptoAccelerators,-4.6725
plus20_e2e3,2,RuntimeDetectionResponse,1.7400
plus20_e2e3,3,MemorySafetyMitigations,3.4600
plus20_e2e3,4,RowhammerMitigations,4.3150
plus20_e2e3,5,TrustedExecutionEnvironments,10.8900
plus20_e2e3,6,SpeculationControls,13.3800
